standardLat,scope,score,eastScaleErrorPct.p50,eastScaleErrorPct.p95,eastScaleErrorPct.max,shapeDistortionPct.p50,shapeDistortionPct.p95,shapeDistortionPct.max,screenNorthErrorDeg.p95,geoAxisHorizontalShare.p95,widthTiles,heightTiles
49.5,scandinavia,20.43715481,29.88960967,54.4990795,57.90625171,29.88960967,54.4990795,57.90625171,0,0,,
49.5,central-europe,4.38057202,6.26597699,10.87153139,12.42853287,6.51054494,12.08652238,12.42853287,0,0,,
49.5,mediterranean,10.96136989,17.58385969,24.11930588,24.71754809,21.33545641,31.78582664,32.83308056,0,0,,
49.5,middle-east,14.56857178,24.23322171,30.16386841,30.65353792,31.98396745,43.1923529,44.20346331,0,0,,
49.5,western-russia,19.82087369,22.55603677,52.85566316,57.32689996,22.55603677,52.85566316,57.32689996,0,0,,
49.75,emea,16.21716758,21.84362319,40.94339993,52.34312088,24.52684084,44.39697034,52.34312088,0,0,974,1137
49.75,iberia,9.00550399,16.26446415,20.49320509,20.91516884,19.42361028,25.77541343,26.44649869,0,0,,
49.75,british-isles,11.16963275,12.64827819,29.78568733,32.0871236,12.64827819,29.78568733,32.0871236,0,0,,
49.75,scandinavia,20.14061518,29.22479593,53.70830716,57.09804045,29.22479593,53.70830716,57.09804045,0,0,,
49.75,central-europe,4.36825325,5.96539222,11.23984571,11.85309012,6.11537346,11.85309012,12.66316604,0,0,,
49.75,mediterranean,11.17941472,18.00569006,24.50768589,25.10286612,21.95968242,32.46381593,33.51645759,0,0,,
49.75,middle-east,14.79741996,24.62101866,30.52131055,31.00847378,32.6629761,43.92902455,44.94533675,0,0,,
49.75,western-russia,19.52748837,21.92875845,52.07330232,56.52165399,21.92875845,52.07330232,56.52165399,0,0,,
50,emea,16.3135665,22.2471968,40.21561496,51.55647152,25.1731937,45.14645852,51.55647152,0,0,969,1137
50,iberia,9.22003072,16.69684669,20.90375181,21.32353668,20.04347498,26.42824697,27.10281548,0,0,,
50,british-isles,10.91831891,12.06659984,29.11551708,31.4050695,12.06659984,29.11551708,31.4050695,0,0,,
50,scandinavia,19.84297816,28.55752194,52.91460843,56.28683827,28.55752194,52.91460843,56.28683827,0,0,,
50,central-europe,4.45406764,6.24955658,11.27551786,11.69817372,6.66616215,12.17851162,13.24794085,0,0,,
50,mediterranean,11.40002925,18.42908149,24.89750317,25.48961008,22.59271052,33.15136542,34.20947079,0,0,,
50,middle-east,15.0290304,25.01025072,30.88007546,31.36472315,33.35155933,44.67608387,45.6976712,0,0,,
50,western-russia,19.23301733,21.29915877,51.28804622,55.71342807,21.29915877,51.28804622,55.71342807,0,0,,
50.25,emea,16.41228507,21.80333865,39.48516048,50.76693675,25.82869942,45.90656003,50.76693675,0,0,964,1137
50.25,iberia,9.43705684,17.1308152,21.31580441,21.73340241,20.67211743,27.09032514,27.76842622,0,0,,
50.25,british-isles,10.66608325,11.4827879,28.44288866,30.72051364,11.4827879,28.44288866,30.72051364,0,0,,
50.25,scandinavia,19.54424941,27.8878004,52.11799843,55.47266061,27.8878004,52.11799843,55.47266061,0,0,,
50.25,central-europe,4.606587,6.25175135,11.32076216,12.15818286,6.25175135,12.76596691,13.84099652,0,0,,
50.25,mediterranean,11.62325657,18.85402591,25.28875028,25.87777261,23.23470279,33.84865115,34.91229759,0,0,,
50.25,middle-east,15.26345007,25.40091048,31.24015631,31.72227922,34.04989343,45.43372212,46.4606593,0,0,,
50.25,western-russia,18.93746618,20.66724974,50.49990981,54.9022376,20.66724974,50.49990981,54.9022376,0,0,,
50.5,emea,16.51337421,21.1631612,38.7520504,49.97453159,26.4935277,46.67747166,49.97453159,0,0,959,1137
50.5,iberia,9.65662422,17.56636142,21.72935505,22.14475822,21.30970041,27.76181934,28.44350324,0,0,,
50.5,british-isles,10.41293058,10.89685349,27.76781487,30.03346904,10.89685349,27.76781487,30.03346904,0,0,,
50.5,scandinavia,19.24443462,27.21564406,51.31849233,54.65552298,27.21564406,51.31849233,54.65552298,0,0,,
50.5,central-europe,4.81379987,6.23057566,11.78684502,12.61986438,6.64457066,13.36177697,14.4424866,0,0,,
50.5,mediterranean,11.84914088,19.28051523,25.6814198,26.26734632,23.88582544,34.55585363,35.62511996,0,0,,
50.5,middle-east,15.50072715,25.7929905,31.60154626,32.08113521,34.7581592,46.20213547,47.23449856,0,0,,
50.5,western-russia,18.64084054,20.03304337,49.7089081,54.08809801,20.03304337,49.7089081,54.08809801,0,0,,
50.75,emea,16.61688615,21.36377399,38.01629869,49.17927114,27.16785262,47.45939526,49.17927114,0,0,954,1137
50.75,iberia,9.87877583,18.00347706,22.14439584,22.55759628,21.95639084,28.44290541,29.1282233,0,0,,
50.75,british-isles,10.15886571,10.30880777,27.09030857,29.3439488,10.30880777,27.09030857,29.3439488,0,0,,
50.75,scandinavia,18.9435395,26.54106571,50.51610534,53.83544092,26.54106571,50.51610534,53.83544092,0,0,,
50.75,central-europe,5.02335036,6.54830266,12.25460734,13.08320949,6.54830266,13.96609778,15.05256857,0,0,,
50.75,mediterranean,12.07772754,19.70854133,26.07550423,26.6583238,24.54624895,35.27315805,36.34812452,0,0,,
